Source,Target,Type,Id,Label,timeset,Weight,S
13,133,Directed,404,,,1,
13,134,Directed,405,,,1,
13,138,Directed,406,,,4,
13,142,Directed,407,,,4,
13,143,Directed,408,,,2,
13,153,Directed,409,,,4,
13,162,Directed,410,,,3,
14,0,Directed,411,,,1,
14,5,Directed,412,,,2,
14,6,Directed,413,,,1,
14,17,Directed,414,,,3,
14,19,Directed,415,,,1,
14,20,Directed,416,,,4,
14,33,Directed,417,,,2,
14,40,Directed,418,,,3,
14,45,Directed,419,,,1,
14,46,Directed,420,,,1,
14,50,Directed,421,,,1,
14,51,Directed,422,,,7,
14,54,Directed,423,,,8,
14,56,Directed,424,,,1,
14,71,Directed,425,,,3,
14,74,Directed,426,,,1,
14,96,Directed,427,,,2,
14,102,Directed,428,,,9,
14,109,Directed,429,,,1,
14,114,Directed,430,,,1,
14,117,Directed,431,,,5,
14,118,Directed,432,,,2,
14,121,Directed,433,,,1,
14,122,Directed,434,,,2,
14,127,Directed,435,,,1,
14,128,Directed,436,,,2,
14,130,Directed,437,,,2,
14,138,Directed,438,,,6,
14,142,Directed,439,,,2,
14,143,Directed,440,,,4,
14,151,Directed,441,,,2,
14,155,Directed,442,,,1,
14,162,Directed,443,,,4,
14,164,Directed,444,,,3,
15,1,Directed,445,,,4,
15,3,Directed,446,,,2,
15,21,Directed,447,,,4,
15,25,Directed,448,,,4,
15,43,Directed,449,,,2,
15,47,Directed,450,,,1,
15,52,Directed,451,,,2,
15,55,Directed,452,,,5,
15,72,Directed,453,,,8,
15,83,Directed,454,,,1,
15,88,Directed,455,,,1,
15,91,Directed,456,,,4,
15,98,Directed,457,,,3,
15,100,Directed,458,,,1,
15,106,Directed,459,,,6,
15,123,Directed,460,,,1,
15,129,Directed,461,,,2,
15,136,Directed,462,,,1,
15,140,Directed,463,,,2,
15,148,Directed,464,,,5,
15,150,Directed,465,,,4,
15,152,Directed,466,,,1,
16,5,Directed,467,,,23,
16,19,Directed,468,,,18,
16,28,Directed,469,,,18,
16,30,Directed,470,,,12,
16,32,Directed,471,,,2,
16,42,Directed,472,,,10,
16,54,Directed,473,,,1,
16,59,Directed,474,,,1,
16,62,Directed,475,,,1,
16,64,Directed,476,,,2,
16,74,Directed,477,,,1,
16,96,Directed,478,,,3,
16,107,Directed,479,,,1,
16,113,Directed,480,,,1,
16,114,Directed,481,,,27,
16,115,Directed,482,,,17,
16,120,Directed,483,,,1,
16,122,Directed,484,,,1,
16,133,Directed,485,,,1,
16,138,Directed,486,,,1,
16,156,Directed,487,,,22,
16,159,Directed,488,,,9,
16,164,Directed,489,,,1,
17,5,Directed,490,,,1,
17,6,Directed,491,,,1,
17,8,Directed,492,,,1,
17,14,Directed,493,,,4,
17,29,Directed,494,,,1,
17,33,Directed,495,,,2,
17,36,Directed,496,,,2,
17,37,Directed,497,,,2,
17,40,Directed,498,,,1,
17,50,Directed,499,,,1,
17,51,Directed,500,,,1,
17,56,Directed,501,,,5,
17,64,Directed,502,,,2,
17,70,Directed,503,,,2,
17,71,Directed,504,,,2,
17,85,Directed,505,,,1,
17,97,Directed,506,,,1,
17,106,Directed,507,,,1,
17,110,Directed,508,,,2,
17,118,Directed,509,,,3,
17,120,Directed,510,,,1,
17,121,Directed,511,,,3,
17,128,Directed,512,,,2,
17,130,Directed,513,,,2,
17,133,Directed,514,,,1,
17,138,Directed,515,,,4,
17,151,Directed,516,,,2,
17,157,Directed,517,,,1,
18,1,Directed,518,,,1,
18,3,Directed,519,,,3,
18,21,Directed,520,,,1,
18,23,Directed,521,,,1,
18,39,Directed,522,,,1,
18,43,Directed,523,,,3,
18,47,Directed,524,,,1,
18,55,Directed,525,,,1,
18,60,Directed,526,,,5,
18,72,Directed,527,,,2,
18,77,Directed,528,,,1,
18,83,Directed,529,,,1,
18,87,Directed,530,,,2,
18,88,Directed,531,,,3,
18,91,Directed,532,,,4,
18,98,Directed,533,,,2,
18,99,Directed,534,,,7,
18,100,Directed,535,,,1,
18,129,Directed,536,,,2,
18,136,Directed,537,,,7,
18,148,Directed,538,,,1,
18,150,Directed,539,,,3,
18,152,Directed,540,,,2,
18,165,Directed,541,,,7,
18,166,Directed,542,,,2,
19,5,Directed,543,,,26,
19,7,Directed,544,,,1,
19,14,Directed,545,,,1,
19,16,Directed,546,,,4,
19,25,Directed,547,,,1,
19,28,Directed,548,,,7,
19,30,Directed,549,,,2,
19,32,Directed,550,,,1,
19,42,Directed,551,,,2,
19,51,Directed,552,,,3,
19,54,Directed,553,,,1,
19,62,Directed,554,,,1,
19,64,Directed,555,,,2,
19,71,Directed,556,,,2,
19,96,Directed,557,,,7,
19,102,Directed,558,,,3,
19,110,Directed,559,,,1,
19,114,Directed,560,,,10,
19,115,Directed,561,,,3,
19,117,Directed,562,,,1,
19,118,Directed,563,,,1,
19,138,Directed,564,,,1,
19,155,Directed,565,,,1,
19,156,Directed,566,,,14,
19,164,Directed,567,,,1,
20,0,Directed,568,,,1,
20,5,Directed,569,,,2,
20,6,Directed,570,,,1,
20,8,Directed,571,,,3,
20,13,Directed,572,,,1,
20,14,Directed,573,,,1,
20,19,Directed,574,,,1,
20,33,Directed,575,,,4,
20,36,Directed,576,,,1,
20,37,Directed,577,,,4,
20,38,Directed,578,,,2,
20,40,Directed,579,,,4,
20,43,Directed,580,,,1,
20,45,Directed,581,,,6,
20,51,Directed,582,,,8,
20,53,Directed,583,,,1,
20,54,Directed,584,,,5,
20,56,Directed,585,,,3,
20,64,Directed,586,,,7,
20,69,Directed,587,,,1,
20,70,Directed,588,,,1,
20,71,Directed,589,,,6,
20,74,Directed,590,,,1,
20,96,Directed,591,,,1,
20,102,Directed,592,,,3,
20,106,Directed,593,,,2,
20,109,Directed,594,,,2,
20,110,Directed,595,,,3,
20,115,Directed,596,,,1,
20,117,Directed,597,,,3,
20,118,Directed,598,,,2,
20,120,Directed,599,,,2,
20,121,Directed,600,,,12,
20,122,Directed,601,,,1,
20,128,Directed,602,,,2,
20,138,Directed,603,,,1,
20,142,Directed,604,,,8,
20,143,Directed,605,,,3,
20,151,Directed,606,,,2,
20,162,Directed,607,,,2,
20,164,Directed,608,,,9,
21,1,Directed,609,,,5,
21,3,Directed,610,,,3,
21,15,Directed,611,,,1,
21,18,Directed,612,,,1,
21,25,Directed,613,,,1,
21,27,Directed,614,,,2,
21,31,Directed,615,,,3,
21,39,Directed,616,,,3,
21,43,Directed,617,,,2,
21,47,Directed,618,,,1,
21,52,Directed,619,,,4,
21,55,Directed,620,,,8,
21,60,Directed,621,,,3,
21,72,Directed,622,,,7,
