Id,Label,timeset,matches,goals_for,goals_against,wins,losses,per_win,per_loss,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum,gre
63,Hong Kong,,207,346,411,79,128,0.381643,0.618357,4,0.46875,0.538889,41.474363,5,15,30,45,53,124,177,0.014898,0.039787,0.002449,0.526738,0.074312,0,0,63
64,Hungary,,295,637,444,173,122,0.586441,0.413559,4,0.426357,0.522727,364.379847,2,53,36,89,168,121,289,0.159265,0.133063,0.012498,0.419774,0.749338,0,0,64
65,Iceland,,197,206,387,66,131,0.335025,0.664975,4,0.45082,0.54899,106.192401,2,30,39,69,63,125,188,0.100162,0.137356,0.006739,0.549029,0.399014,0,0,65
66,India,,220,309,373,101,119,0.459091,0.540909,4,0.527157,0.602525,418.555902,5,22,42,64,77,111,188,0.019208,0.057673,0.003084,0.351691,0.099684,0,0,66
67,Indonesia,,318,590,580,148,170,0.465409,0.534591,4,0.522152,0.591919,358.133158,5,27,38,65,135,166,301,0.028197,0.041854,0.004067,0.383721,0.149224,0,0,67
68,Iran,,221,555,150,175,46,0.791855,0.208145,4,0.482456,0.542929,203.332656,5,38,27,65,162,46,208,0.047347,0.063208,0.005947,0.355686,0.246746,0,0,68
69,Iraq,,241,516,220,163,78,0.676349,0.323651,4,0.479651,0.532828,200.314578,5,37,23,60,144,78,222,0.042914,0.03597,0.005704,0.34697,0.227913,0,0,69
70,Israel,,165,270,258,80,85,0.484848,0.515152,4,0.488166,0.565657,413.716853,2,34,35,69,77,85,162,0.095949,0.115782,0.00591,0.352685,0.343657,0,0,70
71,Italy,,302,630,259,235,67,0.778146,0.221854,4,0.483871,0.557576,324.801247,2,62,33,95,232,67,299,0.18615,0.122141,0.015977,0.412354,0.959223,0,0,71
72,Ivory Coast,,242,476,247,166,76,0.68595,0.31405,4,0.48105,0.540404,260.884877,3,38,26,64,151,72,223,0.036831,0.038157,0.006573,0.468816,0.313757,0,0,72
